id,first_name,second_name,web_name,team,position,ict_index,points_per_game,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,bonus,form,value_form,value_season,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,chance_of_playing_next_round,Cost
619,Daniel,Castelo Podence,Podence,WOL,MID,7.7,1.0,0.0,4,43,0,0,0,0,0.8,0.2,0.8,0,0,0,0,0,0,0,,5.2
620,Josh,Brownhill,Brownhill,BUR,MID,0.2,1.0,0.0,1,1,0,0,0,0,0.2,0.0,0.2,0,0,0,0,0,0,0,,4.8
621,Sander,Berge,Berge,SHU,MID,4.9,2.0,0.1,8,208,0,0,1,0,1.5,0.3,1.6,2,0,0,0,0,0,0,,4.9
622,Richairo,Zivkovic,Zivkovic,SHU,FWD,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.7
623,Borja,González Tomás,Bastón,AVL,FWD,0.4,1.0,0.0,2,16,0,0,0,0,0.7,0.1,0.4,2,0,0,0,0,0,0,,5.5
624,Odion,Ighalo,Ighalo,MUN,FWD,11.5,1.0,0.7,4,31,0,0,0,0,1.0,0.2,0.6,0,0,0,0,0,0,0,,6.5
625,Panagiotis,Retsos,Retsos,SHU,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
626,Jarrod,Bowen,Bowen,WHU,MID,21.8,3.2,0.2,13,182,1,0,0,2,3.2,0.5,2.0,2,0,0,0,0,0,0,,6.5
627,Alexis,Mac Allister,Mac Allister,BHA,MID,0.9,1.0,0.0,1,10,0,0,0,0,0.3,0.1,0.2,0,0,0,0,0,0,0,,5.5
628,Ki-Jana,Hoever,Hoever,LIV,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
629,João Manuel,Neves Virgínia,Virgínia,EVE,GKP,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
630,Faustino,Anjorin,Anjorin,CHE,MID,1.0,1.0,0.0,1,19,0,0,0,0,1.0,0.2,0.2,0,0,0,0,0,0,0,,4.5
631,Armando,Broja,Broja,CHE,FWD,0.0,1.0,0.0,1,4,0,0,0,0,1.0,0.2,0.2,0,0,0,0,0,0,0,,4.5
